"Log_BG","Log_Freq_HAL","Ortho_N","Stimulus","Type","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Experimental_intro","correct_Introduction","correct_Practice_intro","correct_experimenter_kb","correct_response","count_End_Of_Experiment","count_End_Of_Practice","count_Experimental_Loop","count_Experimental_intro","count_Fixation","count_Introduction","count_Practice_Loop","count_Practice_intro","count_Stimulus","count_block_break_feedback","count_experimental_sequence","count_experimenter_kb","count_increment_trial_count","count_init_trial_count","count_logger","count_practice_sequence","count_right","count_task","count_wrong","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Experimental_Loop","live_row_Practice_Loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_data","osf_always_upload_experiment","osf_datanode_id","osf_id","repeat_cycle","response","response_End_Of_Experiment","response_Experimental_intro","response_Introduction","response_Practice_intro","response_block_break_feedback","response_experimenter_kb","response_time","response_time_End_Of_Experiment","response_time_Experimental_intro","response_time_Introduction","response_time_Practice_intro","response_time_block_break_feedback","response_time_experimenter_kb","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_End_Of_Experiment","time_End_Of_Practice","time_Experimental_Loop","time_Experimental_intro","time_Fixation","time_Introduction","time_Practice_Loop","time_Practice_intro","time_Stimulus","time_block_break_feedback","time_experimental_sequence","time_experimenter_kb","time_increment_trial_count","time_init_trial_count","time_logger","time_practice_sequence","time_right","time_task","time_wrong","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"3.043885998","0","9","gome","non-word","100","100","877","877","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","4","0","0","0","4","NA","0","4","0","0","0","3","4","0","4","Thu Feb 18 13:15:05 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL","no","Andale Mono","no","18","no","white","no","yes","576","legacy","0","0","3","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL/subject-5212118..csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","1070","NA","1242","7980","2347","NA","1070","2","legacy","1024","2","48000","-16","task","5212118","even","NA","24244","27490","26247","27578","5840","16173","13825","28084","NA","27575","28085","NA","27490","29156","22673","23683","5832","NA","Lexical Decision Task","5","4385","5","yes","1024"
"2.952953801","0","8","clax","non-word","100","100","866.3333333333334","866.3333333333334","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","5","0","0","0","5","NA","1","5","1","0","1","3","5","0","5","Thu Feb 18 13:15:05 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL","no","Andale Mono","no","18","no","white","no","yes","576","legacy","1","1","3","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL/subject-5212118..csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","813","NA","1242","7980","2347","NA","813","2","legacy","1024","2","48000","-16","task","5212118","even","NA","24244","27490","26247","29835","5840","16173","13825","30338","NA","29831","30338","29672","27490","31152","22673","29171","5832","NA","Lexical Decision Task","6","5198","6","yes","1024"
"2.67699827","0","6","hulf","non-word","100","100","834.7142857142857","834.7142857142857","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","6","0","0","0","6","NA","2","6","2","0","2","3","6","0","6","Thu Feb 18 13:15:05 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL","no","Andale Mono","no","18","no","white","no","yes","576","legacy","2","2","3","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL/subject-5212118..csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","645","NA","1242","7980","2347","NA","645","2","legacy","1024","2","48000","-16","task","5212118","even","NA","24244","27490","26247","31799","5840","16173","13825","32302","NA","31795","32302","31660","27490","32948","22673","31159","5832","NA","Lexical Decision Task","7","5843","7","yes","1024"
"3.120135028","0","3","vals","non-word","100","100","798.25","798.25","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","7","0","0","0","7","NA","3","7","3","0","3","3","7","0","7","Thu Feb 18 13:15:05 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL","no","Andale Mono","no","18","no","white","no","yes","576","legacy","3","3","3","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL/subject-5212118..csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","543","NA","1242","7980","2347","NA","543","2","legacy","1024","2","48000","-16","task","5212118","even","NA","24244","27490","26247","33589","5840","16173","13825","34092","NA","33585","34092","33456","27490","34636","22673","32956","5832","NA","Lexical Decision Task","8","6386","8","yes","1024"
"2.868644438","10.52","4","town","word","100","100","764.3333333333334","764.3333333333334","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","8","0","0","0","8","NA","4","8","4","0","4","3","8","0","8","Thu Feb 18 13:15:05 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL","no","Andale Mono","no","18","no","white","no","yes","576","legacy","4","4","3","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL/subject-5212118..csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","493","NA","1242","7980","2347","NA","493","2","legacy","1024","2","48000","-16","task","5212118","even","NA","24244","27490","26247","35287","5840","16173","13825","35790","NA","35282","35790","35143","27490","36284","22673","34643","5832","NA","Lexical Decision Task","9","6879","9","yes","1024"
"2.971428938","9.86","7","spot","word","100","100","748.5","748.5","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","9","0","0","0","9","NA","5","9","5","0","5","3","9","0","9","Thu Feb 18 13:15:05 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL","no","Andale Mono","no","18","no","white","no","yes","576","legacy","5","5","3","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL/subject-5212118..csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","606","NA","1242","7980","2347","NA","606","2","legacy","1024","2","48000","-16","task","5212118","even","NA","24244","27490","26247","36922","5840","16173","13825","37425","NA","36919","37425","36791","27490","38032","22673","36291","5832","NA","Lexical Decision Task","10","7485","10","yes","1024"
"3.282244367","0","6","fute","non-word","100","100","741.5454545454545","741.5454545454545","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","10","0","0","0","10","NA","6","10","6","0","6","3","10","0","10","Thu Feb 18 13:15:05 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL","no","Andale Mono","no","18","no","white","no","yes","576","legacy","6","6","3","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL/subject-5212118..csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","672","NA","1242","7980","2347","NA","672","2","legacy","1024","2","48000","-16","task","5212118","even","NA","24244","27490","26247","38685","5840","16173","13825","39188","NA","38681","39188","38540","27490","39861","22673","38040","5832","NA","Lexical Decision Task","11","8157","11","yes","1024"
"2.664011697","8.19","4","hawk","word","100","100","728","728","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","11","0","0","0","11","NA","7","11","7","0","7","3","11","0","11","Thu Feb 18 13:15:05 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL","no","Andale Mono","no","18","no","white","no","yes","576","legacy","7","7","3","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL/subject-5212118..csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","579","NA","1242","7980","2347","NA","579","2","legacy","1024","2","48000","-16","task","5212118","even","NA","24244","27490","26247","40504","5840","16173","13825","41007","NA","40501","41007","40369","27490","41587","22673","39869","5832","NA","Lexical Decision Task","12","8736","12","yes","1024"
"3.028977705","0","7","frow","non-word","100","100","767.5384615384615","767.5384615384615","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","12","0","0","0","12","NA","8","12","8","0","8","3","12","0","12","Thu Feb 18 13:15:05 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL","no","Andale Mono","no","18","no","white","no","yes","576","legacy","8","8","3","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL/subject-5212118..csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","1242","NA","1242","7980","2347","NA","1242","2","legacy","1024","2","48000","-16","task","5212118","even","NA","24244","27490","26247","42229","5840","16173","13825","42732","NA","42225","42732","42094","27490","43975","22673","41594","5832","NA","Lexical Decision Task","13","9978","13","yes","1024"
"3.156347201","0","8","lasp","non-word","100","100","761.2142857142857","761.2142857142857","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","13","0","0","0","13","NA","9","13","9","0","9","3","13","0","13","Thu Feb 18 13:15:05 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL","no","Andale Mono","no","18","no","white","no","yes","576","legacy","9","9","3","C:/Users/Sarah/OneDrive/Documents/Uni/Uni 2/CaL/subject-5212118..csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","679","NA","1242","7980","2347","NA","679","2","legacy","1024","2","48000","-16","task","5212118","even","NA","24244","27490","26247","44631","5840","16173","13825","45134","NA","44627","45134","44482","27490","45814","22673","43982","5832","NA","Lexical Decision Task","14","10657","14","yes","1024"
