"Log_BG","Log_Freq_HAL","Ortho_N","Stimulus","Type","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Experimental_intro","correct_Introduction","correct_Practice_intro","correct_experimenter_kb","correct_response","count_End_Of_Experiment","count_End_Of_Practice","count_Experimental_Loop","count_Experimental_intro","count_Fixation","count_Introduction","count_Practice_Loop","count_Practice_intro","count_Stimulus","count_block_break_feedback","count_experimental_sequence","count_experimenter_kb","count_increment_trial_count","count_init_trial_count","count_logger","count_practice_sequence","count_right","count_task","count_wrong","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Experimental_Loop","live_row_Practice_Loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_data","osf_always_upload_experiment","osf_datanode_id","osf_id","repeat_cycle","response","response_End_Of_Experiment","response_Experimental_intro","response_Introduction","response_Practice_intro","response_block_break_feedback","response_experimenter_kb","response_time","response_time_End_Of_Experiment","response_time_Experimental_intro","response_time_Introduction","response_time_Practice_intro","response_time_block_break_feedback","response_time_experimenter_kb","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_End_Of_Experiment","time_End_Of_Practice","time_Experimental_Loop","time_Experimental_intro","time_Fixation","time_Introduction","time_Practice_Loop","time_Practice_intro","time_Stimulus","time_block_break_feedback","time_experimental_sequence","time_experimenter_kb","time_increment_trial_count","time_init_trial_count","time_logger","time_practice_sequence","time_right","time_task","time_wrong","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"2.983324025","9.56","2","debt","word","100","100","1163.4","1163.4","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","4","0","0","0","4","NA","0","4","0","0","0","3","4","0","4","Fri Feb 19 12:37:12 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","/Users/halimefistikci/Downloads","no","Andale Mono","no","18","no","white","no","yes","576","legacy","0","0","3","/Users/halimefistikci/Downloads/subject-5217513.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","1389","NA","3751","16425","9456","NA","1389","2","legacy","1024","2","48000","-16","task","5217513","odd","NA","38923","44679","40927","44713","4251","30176","20719","45217","NA","44711","45217","NA","44679","46608","36422","38392","4231","NA","Lexical Decision Task","5","5817","5","yes","1024"
"2.845304797","0","6","buct","non-word","100","100","1106.1666666666667","1106.1666666666667","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","5","0","0","0","5","NA","1","5","1","0","1","3","5","0","5","Fri Feb 19 12:37:12 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","/Users/halimefistikci/Downloads","no","Andale Mono","no","18","no","white","no","yes","576","legacy","1","1","3","/Users/halimefistikci/Downloads/subject-5217513.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","820","NA","3751","16425","9456","NA","820","2","legacy","1024","2","48000","-16","task","5217513","odd","NA","38923","44679","40927","47188","4251","30176","20719","47691","NA","47185","47692","47118","44679","48513","36422","46618","4231","NA","Lexical Decision Task","6","6637","6","yes","1024"
"3.488597715","0","9","nain","non-word","100","100","1122.4285714285713","1122.4285714285713","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","6","0","0","0","6","NA","2","6","2","0","2","3","6","0","6","Fri Feb 19 12:37:12 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","/Users/halimefistikci/Downloads","no","Andale Mono","no","18","no","white","no","yes","576","legacy","2","2","3","/Users/halimefistikci/Downloads/subject-5217513.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","1220","NA","3751","16425","9456","NA","1220","2","legacy","1024","2","48000","-16","task","5217513","odd","NA","38923","44679","40927","49082","4251","30176","20719","49586","NA","49079","49586","49019","44679","50807","36422","48519","4231","NA","Lexical Decision Task","7","7857","7","yes","1024"
"3.257359335","8","6","brew","word","100","100","1076.25","1076.25","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","7","0","0","0","7","NA","3","7","3","0","3","3","7","0","7","Fri Feb 19 12:37:12 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","/Users/halimefistikci/Downloads","no","Andale Mono","no","18","no","white","no","yes","576","legacy","3","3","3","/Users/halimefistikci/Downloads/subject-5217513.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","753","NA","3751","16425","9456","NA","753","2","legacy","1024","2","48000","-16","task","5217513","odd","NA","38923","44679","40927","51380","4251","30176","20719","51884","NA","51376","51885","51312","44679","52639","36422","50812","4231","NA","Lexical Decision Task","8","8610","8","yes","1024"
"3.209246849","0","7","slem","non-word","100","100","1123.4444444444443","1123.4444444444443","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","f","0","0","0","0","8","0","0","0","8","NA","4","8","4","0","4","3","8","0","8","Fri Feb 19 12:37:12 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","/Users/halimefistikci/Downloads","no","Andale Mono","no","18","no","white","no","yes","576","legacy","4","4","3","/Users/halimefistikci/Downloads/subject-5217513.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","1501","NA","3751","16425","9456","NA","1501","2","legacy","1024","2","48000","-16","task","5217513","odd","NA","38923","44679","40927","53205","4251","30176","20719","53710","NA","53203","53711","53145","44679","55214","36422","52645","4231","NA","Lexical Decision Task","9","10111","9","yes","1024"
"3.140404328","10.66","9","deep","word","100","100","1074.2","1074.2","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","9","0","0","0","9","NA","5","9","5","0","5","3","9","0","9","Fri Feb 19 12:37:12 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","/Users/halimefistikci/Downloads","no","Andale Mono","no","18","no","white","no","yes","576","legacy","5","5","3","/Users/halimefistikci/Downloads/subject-5217513.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","631","NA","3751","16425","9456","NA","631","2","legacy","1024","2","48000","-16","task","5217513","odd","NA","38923","44679","40927","55792","4251","30176","20719","56296","NA","55787","56297","55719","44679","56929","36422","55219","4231","NA","Lexical Decision Task","10","10742","10","yes","1024"
"3.090140555","5.81","8","pout","word","100","100","1080.090909090909","1080.090909090909","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","10","0","0","0","10","NA","6","10","6","0","6","3","10","0","10","Fri Feb 19 12:37:12 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","/Users/halimefistikci/Downloads","no","Andale Mono","no","18","no","white","no","yes","576","legacy","6","6","3","/Users/halimefistikci/Downloads/subject-5217513.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","1139","NA","3751","16425","9456","NA","1139","2","legacy","1024","2","48000","-16","task","5217513","odd","NA","38923","44679","40927","57493","4251","30176","20719","57995","NA","57490","57995","57434","44679","59135","36422","56933","4231","NA","Lexical Decision Task","11","11881","11","yes","1024"
"2.803231716","5.26","3","kiln","word","91.66666666666667","91.66666666666667","1065.5833333333333","1065.5833333333333","black","no","legacy","legacy","legacy","0","uniform","0","undefined","undefined","undefined","0","j","0","0","0","0","11","0","0","0","11","NA","7","11","7","0","7","3","11","0","11","Fri Feb 19 12:37:12 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","/Users/halimefistikci/Downloads","no","Andale Mono","no","18","no","white","no","yes","576","legacy","7","7","3","/Users/halimefistikci/Downloads/subject-5217513.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","f","NA","space","space","space","NA","f","906","NA","3751","16425","9456","NA","906","2","legacy","1024","2","48000","-16","task","5217513","odd","NA","38923","44679","40927","59706","4251","30176","20719","60209","NA","59703","60209","59640","44679","61116","36422","59139","4231","NA","Lexical Decision Task","11","12787","12","yes","1024"
"2.814027728","8.2","4","foam","word","92.3076923076923","92.3076923076923","1049.3846153846155","1049.3846153846155","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","12","0","0","0","12","NA","8","12","8","0","8","3","12","0","12","Fri Feb 19 12:37:12 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","/Users/halimefistikci/Downloads","no","Andale Mono","no","18","no","white","no","yes","576","legacy","8","8","3","/Users/halimefistikci/Downloads/subject-5217513.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","855","NA","3751","16425","9456","NA","855","2","legacy","1024","2","48000","-16","task","5217513","odd","NA","38923","44679","40927","62681","4251","30176","20719","63183","NA","62678","63184","62621","44679","64041","36422","59139","4231","61120","Lexical Decision Task","12","13642","13","yes","1024"
"2.842815106","7.86","8","lump","word","92.85714285714286","92.85714285714286","1081.2142857142858","1081.2142857142858","black","no","legacy","legacy","legacy","0","uniform","1","undefined","undefined","undefined","1","j","0","0","0","0","13","0","0","0","13","NA","9","13","9","0","9","3","13","0","13","Fri Feb 19 12:37:12 2021","The main experiment item","yes","Lexical_Decision_Task.osexp","/Users/halimefistikci/Downloads","no","Andale Mono","no","18","no","white","no","yes","576","legacy","9","9","3","/Users/halimefistikci/Downloads/subject-5217513.csv","legacy","Lentiform Loewenfeld","3.3.7","yes","yes","600bd7cfb6416f0113b04181","602110864497cf011d9c0822","0","j","NA","space","space","space","NA","j","1495","NA","3751","16425","9456","NA","1495","2","legacy","1024","2","48000","-16","task","5217513","odd","NA","38923","44679","40927","64609","4251","30176","20719","65112","NA","64606","65113","64546","44679","66609","36422","64046","4231","61120","Lexical Decision Task","13","15137","14","yes","1024"
