Participant Code,Image Name,Correct Response,Participant Response,Response Correct
Particpant 23255_P90,01.JPG,,,1
Particpant 23255_P90,08.JPG,,,1
Particpant 23255_P90,12.JPG,3,3,1
Particpant 23255_P90,13.JPG,3,3,1
Particpant 23255_P90,14.JPG,1,1,1
Particpant 23255_P90,15.JPG,,,1
Particpant 23255_P90,19.JPG,1,1,1
Particpant 23255_P90,20.JPG,2,2,1
Particpant 23255_P90,21.JPG,3,3,1
Particpant 23255_P90,22.JPG,,,1
Particpant 23255_P90,26.JPG,2,2,1
Particpant 23255_P90,27.JPG,1,3,0
Particpant 23255_P90,28.JPG,3,1,0
Particpant 23255_P90,29.JPG,,,1
Particpant 23255_P90,33.JPG,1,1,1
Particpant 23255_P90,34.JPG,3,3,1
Particpant 23255_P90,35.JPG,1,1,1
Particpant 23255_P90,36.JPG,,,1
Particpant 23255_P90,40.JPG,2,2,1
Particpant 23255_P90,41.JPG,2,2,1
Particpant 23255_P90,42.JPG,1,1,1
Particpant 23255_P90,43.JPG,,,1
Particpant 23255_P90,47.JPG,2,2,1
Particpant 23255_P90,48.JPG,2,2,1
Particpant 23255_P90,49.JPG,3,3,1
Particpant 23255_P90,50.JPG,,,1
Particpant 23255_P90,52.JPG,,,1
Particpant 23255_P90,53.JPG,1,1,1
Particpant 23255_P90,54.JPG,2,2,1
Particpant 23255_P90,55.JPG,3,3,1
Particpant 23255_P90,56.JPG,1,1,1
Particpant 23255_P90,57.JPG,1,1,1
Particpant 23255_P90,58.JPG,3,0,0
Particpant 23255_P90,59.JPG,1,1,1
Particpant 23255_P90,60.JPG,2,0,0
Particpant 23255_P90,61.JPG,3,3,1
Particpant 23255_P90,62.JPG,2,2,1
Particpant 23255_P90,63.JPG,3,0,0
Particpant 23255_P90,64.JPG,1,1,1
Particpant 23255_P90,65.JPG,2,2,1
Particpant 23255_P90,66.JPG,3,3,1
Particpant 23255_P90,67.JPG,1,0,0
Particpant 23255_P90,68.JPG,3,0,0
Particpant 23255_P90,69.JPG,1,3,0
Particpant 23255_P90,70.JPG,2,0,0
Particpant 23255_P90,71.JPG,1,1,1
Particpant 23255_P90,72.JPG,2,2,1
Particpant 23255_P90,73.JPG,3,3,1
Particpant 23255_P90,74.JPG,1,1,1
Particpant 23255_P90,75.JPG,0,0,1
Particpant 23255_P90,76.JPG,0,0,1
Particpant 23255_P90,77.JPG,0,0,1
Particpant 23255_P90,78.JPG,0,0,1
Particpant 23255_P90,79.JPG,0,0,1
Particpant 23255_P90,80.JPG,0,0,1
Particpant 23255_P90,81.JPG,0,2,0
Particpant 23255_P90,82.JPG,0,2,0
Particpant 23255_P90,83.JPG,0,0,1
Particpant 23255_P90,84.JPG,0,2,0
Particpant 23255_P90,85.JPG,0,0,1
Particpant 23255_P90,86.JPG,0,0,1
Particpant 23255_P90,87.JPG,0,0,1
Particpant 23255_P90,88.JPG,0,1,0
Particpant 23255_P90,89.JPG,0,2,0
Particpant 23255_P90,90.JPG,0,0,1
Particpant 23255_P90,91.JPG,0,0,1
Particpant 23255_P90,92.JPG,0,0,1
Particpant 23255_P90,93.JPG,0,1,0
Particpant 23255_P90,94.JPG,0,2,0
Particpant 23255_P90,95.JPG,0,2,0
Particpant 23255_P90,96.JPG,0,1,0
Particpant 23255_P90,97.JPG,0,0,1
Particpant 23255_P90,98.JPG,,,1
Particpant 23255_P90,99.JPG,1,1,1
Particpant 23255_P90,100.JPG,2,2,1
Particpant 23255_P90,101.JPG,1,1,1
Particpant 23255_P90,102.JPG,2,2,1
Particpant 23255_P90,103.JPG,3,3,1
Particpant 23255_P90,104.JPG,1,1,1
Particpant 23255_P90,105.JPG,2,0,0
Particpant 23255_P90,106.JPG,1,1,1
Particpant 23255_P90,107.JPG,3,0,0
Particpant 23255_P90,108.JPG,1,0,0
Particpant 23255_P90,109.JPG,3,3,1
Particpant 23255_P90,110.JPG,1,1,1
Particpant 23255_P90,111.JPG,2,2,1
Particpant 23255_P90,112.JPG,3,3,1
Particpant 23255_P90,113.JPG,2,2,1
Particpant 23255_P90,114.JPG,1,1,1
Particpant 23255_P90,115.JPG,2,1,0
Particpant 23255_P90,116.JPG,3,0,0
Particpant 23255_P90,117.JPG,1,1,1
Particpant 23255_P90,118.JPG,2,0,0
Particpant 23255_P90,119.JPG,3,0,0
Particpant 23255_P90,120.JPG,2,2,1
Particpant 23255_P90,121.JPG,3,3,1
Particpant 23255_P90,122.JPG,0,0,1
Particpant 23255_P90,123.JPG,0,0,1
Particpant 23255_P90,124.JPG,0,0,1
Particpant 23255_P90,125.JPG,0,0,1
Particpant 23255_P90,126.JPG,0,0,1
Particpant 23255_P90,127.JPG,0,1,0
Particpant 23255_P90,128.JPG,0,0,1
Particpant 23255_P90,129.JPG,0,3,0
Particpant 23255_P90,130.JPG,0,2,0
Particpant 23255_P90,131.JPG,0,0,1
Particpant 23255_P90,132.JPG,0,0,1
Particpant 23255_P90,133.JPG,0,1,0
Particpant 23255_P90,134.JPG,0,3,0
Particpant 23255_P90,135.JPG,0,2,0
Particpant 23255_P90,136.JPG,0,0,1
Particpant 23255_P90,137.JPG,0,1,0
Particpant 23255_P90,138.JPG,0,0,1
Particpant 23255_P90,139.JPG,0,0,1
Particpant 23255_P90,140.JPG,0,0,1
Particpant 23255_P90,141.JPG,0,2,0
Particpant 23255_P90,142.JPG,0,2,0
Particpant 23255_P90,143.JPG,0,0,1
Particpant 23255_P90,144.JPG,,,1
