Participant Code,Image Name,Correct Response,Participant Response,Response Correct
Particpant P04PVP,01.JPG,,,1
Particpant P04PVP,08.JPG,,,1
Particpant P04PVP,12.JPG,3,3,1
Particpant P04PVP,13.JPG,3,3,1
Particpant P04PVP,14.JPG,1,1,1
Particpant P04PVP,15.JPG,,,1
Particpant P04PVP,19.JPG,1,1,1
Particpant P04PVP,20.JPG,2,2,1
Particpant P04PVP,21.JPG,3,3,1
Particpant P04PVP,22.JPG,,,1
Particpant P04PVP,26.JPG,2,2,1
Particpant P04PVP,27.JPG,1,3,0
Particpant P04PVP,28.JPG,3,1,0
Particpant P04PVP,29.JPG,,,1
Particpant P04PVP,33.JPG,1,1,1
Particpant P04PVP,34.JPG,3,3,1
Particpant P04PVP,35.JPG,1,1,1
Particpant P04PVP,36.JPG,,,1
Particpant P04PVP,40.JPG,2,2,1
Particpant P04PVP,41.JPG,2,2,1
Particpant P04PVP,42.JPG,1,1,1
Particpant P04PVP,43.JPG,,,1
Particpant P04PVP,47.JPG,2,2,1
Particpant P04PVP,48.JPG,2,2,1
Particpant P04PVP,49.JPG,3,3,1
Particpant P04PVP,50.JPG,,,1
Particpant P04PVP,52.JPG,,,1
Particpant P04PVP,53.JPG,1,1,1
Particpant P04PVP,54.JPG,2,2,1
Particpant P04PVP,55.JPG,3,3,1
Particpant P04PVP,56.JPG,1,1,1
Particpant P04PVP,57.JPG,1,0,0
Particpant P04PVP,58.JPG,3,0,0
Particpant P04PVP,59.JPG,1,0,0
Particpant P04PVP,60.JPG,2,0,0
Particpant P04PVP,61.JPG,3,3,1
Particpant P04PVP,62.JPG,2,2,1
Particpant P04PVP,63.JPG,3,3,1
Particpant P04PVP,64.JPG,1,1,1
Particpant P04PVP,65.JPG,2,2,1
Particpant P04PVP,66.JPG,3,3,1
Particpant P04PVP,67.JPG,1,1,1
Particpant P04PVP,68.JPG,3,3,1
Particpant P04PVP,69.JPG,1,1,1
Particpant P04PVP,70.JPG,2,2,1
Particpant P04PVP,71.JPG,1,1,1
Particpant P04PVP,72.JPG,2,2,1
Particpant P04PVP,73.JPG,3,3,1
Particpant P04PVP,74.JPG,1,1,1
Particpant P04PVP,75.JPG,0,0,1
Particpant P04PVP,76.JPG,0,0,1
Particpant P04PVP,77.JPG,0,0,1
Particpant P04PVP,78.JPG,0,0,1
Particpant P04PVP,79.JPG,0,,0
Particpant P04PVP,80.JPG,0,0,1
Particpant P04PVP,81.JPG,0,0,1
Particpant P04PVP,82.JPG,0,0,1
Particpant P04PVP,83.JPG,0,0,1
Particpant P04PVP,84.JPG,0,0,1
Particpant P04PVP,85.JPG,0,0,1
Particpant P04PVP,86.JPG,0,0,1
Particpant P04PVP,87.JPG,0,0,1
Particpant P04PVP,88.JPG,0,0,1
Particpant P04PVP,89.JPG,0,0,1
Particpant P04PVP,90.JPG,0,0,1
Particpant P04PVP,91.JPG,0,0,1
Particpant P04PVP,92.JPG,0,0,1
Particpant P04PVP,93.JPG,0,0,1
Particpant P04PVP,94.JPG,0,0,1
Particpant P04PVP,95.JPG,0,0,1
Particpant P04PVP,96.JPG,0,0,1
Particpant P04PVP,97.JPG,0,0,1
Particpant P04PVP,98.JPG,,,1
Particpant P04PVP,99.JPG,1,2,0
Particpant P04PVP,100.JPG,2,2,1
Particpant P04PVP,101.JPG,1,0,0
Particpant P04PVP,102.JPG,2,0,0
Particpant P04PVP,103.JPG,3,0,0
Particpant P04PVP,104.JPG,1,0,0
Particpant P04PVP,105.JPG,2,0,0
Particpant P04PVP,106.JPG,1,1,1
Particpant P04PVP,107.JPG,3,0,0
Particpant P04PVP,108.JPG,1,1,1
Particpant P04PVP,109.JPG,3,3,1
Particpant P04PVP,110.JPG,1,1,1
Particpant P04PVP,111.JPG,2,2,1
Particpant P04PVP,112.JPG,3,3,1
Particpant P04PVP,113.JPG,2,2,1
Particpant P04PVP,114.JPG,1,1,1
Particpant P04PVP,115.JPG,2,2,1
Particpant P04PVP,116.JPG,3,3,1
Particpant P04PVP,117.JPG,1,0,0
Particpant P04PVP,118.JPG,2,2,1
Particpant P04PVP,119.JPG,3,3,1
Particpant P04PVP,120.JPG,2,2,1
Particpant P04PVP,121.JPG,3,3,1
Particpant P04PVP,122.JPG,0,0,1
Particpant P04PVP,123.JPG,0,0,1
Particpant P04PVP,124.JPG,0,0,1
Particpant P04PVP,125.JPG,0,0,1
Particpant P04PVP,126.JPG,0,0,1
Particpant P04PVP,127.JPG,0,0,1
Particpant P04PVP,128.JPG,0,0,1
Particpant P04PVP,129.JPG,0,0,1
Particpant P04PVP,130.JPG,0,0,1
Particpant P04PVP,131.JPG,0,0,1
Particpant P04PVP,132.JPG,0,0,1
Particpant P04PVP,133.JPG,0,0,1
Particpant P04PVP,134.JPG,0,1,0
Particpant P04PVP,135.JPG,0,0,1
Particpant P04PVP,136.JPG,0,0,1
Particpant P04PVP,137.JPG,0,0,1
Particpant P04PVP,138.JPG,0,0,1
Particpant P04PVP,139.JPG,0,0,1
Particpant P04PVP,140.JPG,0,0,1
Particpant P04PVP,141.JPG,0,0,1
Particpant P04PVP,142.JPG,0,0,1
Particpant P04PVP,143.JPG,0,0,1
Particpant P04PVP,144.JPG,,,1
