Participant Code,Image Name,Correct Response,Participant Response,Response Correct
Particpant 23255_P01,01.JPG,,,1
Particpant 23255_P01,08.JPG,,,1
Particpant 23255_P01,12.JPG,3,3,1
Particpant 23255_P01,13.JPG,3,3,1
Particpant 23255_P01,14.JPG,1,1,1
Particpant 23255_P01,15.JPG,,,1
Particpant 23255_P01,19.JPG,1,1,1
Particpant 23255_P01,20.JPG,2,2,1
Particpant 23255_P01,21.JPG,3,3,1
Particpant 23255_P01,22.JPG,,,1
Particpant 23255_P01,26.JPG,2,2,1
Particpant 23255_P01,27.JPG,1,3,0
Particpant 23255_P01,28.JPG,3,1,0
Particpant 23255_P01,29.JPG,,,1
Particpant 23255_P01,33.JPG,1,1,1
Particpant 23255_P01,34.JPG,3,3,1
Particpant 23255_P01,35.JPG,1,1,1
Particpant 23255_P01,36.JPG,,,1
Particpant 23255_P01,40.JPG,2,2,1
Particpant 23255_P01,41.JPG,2,2,1
Particpant 23255_P01,42.JPG,1,1,1
Particpant 23255_P01,43.JPG,,,1
Particpant 23255_P01,47.JPG,2,2,1
Particpant 23255_P01,48.JPG,2,2,1
Particpant 23255_P01,49.JPG,3,3,1
Particpant 23255_P01,50.JPG,,,1
Particpant 23255_P01,52.JPG,,,1
Particpant 23255_P01,53.JPG,1,1,1
Particpant 23255_P01,54.JPG,2,2,1
Particpant 23255_P01,55.JPG,3,3,1
Particpant 23255_P01,56.JPG,1,1,1
Particpant 23255_P01,57.JPG,1,0,0
Particpant 23255_P01,58.JPG,3,3,1
Particpant 23255_P01,59.JPG,1,3,0
Particpant 23255_P01,60.JPG,2,2,1
Particpant 23255_P01,61.JPG,3,3,1
Particpant 23255_P01,62.JPG,2,2,1
Particpant 23255_P01,63.JPG,3,3,1
Particpant 23255_P01,64.JPG,1,0,0
Particpant 23255_P01,65.JPG,2,2,1
Particpant 23255_P01,66.JPG,3,3,1
Particpant 23255_P01,67.JPG,1,1,1
Particpant 23255_P01,68.JPG,3,3,1
Particpant 23255_P01,69.JPG,1,1,1
Particpant 23255_P01,70.JPG,2,0,0
Particpant 23255_P01,71.JPG,1,1,1
Particpant 23255_P01,72.JPG,2,2,1
Particpant 23255_P01,73.JPG,3,3,1
Particpant 23255_P01,74.JPG,1,1,1
Particpant 23255_P01,75.JPG,0,0,1
Particpant 23255_P01,76.JPG,0,1,0
Particpant 23255_P01,77.JPG,0,0,1
Particpant 23255_P01,78.JPG,0,1,0
Particpant 23255_P01,79.JPG,0,0,1
Particpant 23255_P01,80.JPG,0,0,1
Particpant 23255_P01,81.JPG,0,0,1
Particpant 23255_P01,82.JPG,0,3,0
Particpant 23255_P01,83.JPG,0,2,0
Particpant 23255_P01,84.JPG,0,2,0
Particpant 23255_P01,85.JPG,0,0,1
Particpant 23255_P01,86.JPG,0,0,1
Particpant 23255_P01,87.JPG,0,2,0
Particpant 23255_P01,88.JPG,0,3,0
Particpant 23255_P01,89.JPG,0,3,0
Particpant 23255_P01,90.JPG,0,0,1
Particpant 23255_P01,91.JPG,0,3,0
Particpant 23255_P01,92.JPG,0,0,1
Particpant 23255_P01,93.JPG,0,0,1
Particpant 23255_P01,94.JPG,0,0,1
Particpant 23255_P01,95.JPG,0,0,1
Particpant 23255_P01,96.JPG,0,2,0
Particpant 23255_P01,97.JPG,0,1,0
Particpant 23255_P01,98.JPG,,,1
Particpant 23255_P01,99.JPG,1,3,0
Particpant 23255_P01,100.JPG,2,0,0
Particpant 23255_P01,101.JPG,1,1,1
Particpant 23255_P01,102.JPG,2,2,1
Particpant 23255_P01,103.JPG,3,2,0
Particpant 23255_P01,104.JPG,1,1,1
Particpant 23255_P01,105.JPG,2,3,0
Particpant 23255_P01,106.JPG,1,1,1
Particpant 23255_P01,107.JPG,3,3,1
Particpant 23255_P01,108.JPG,1,0,0
Particpant 23255_P01,109.JPG,3,3,1
Particpant 23255_P01,110.JPG,1,0,0
Particpant 23255_P01,111.JPG,2,2,1
Particpant 23255_P01,112.JPG,3,3,1
Particpant 23255_P01,113.JPG,2,2,1
Particpant 23255_P01,114.JPG,1,1,1
Particpant 23255_P01,115.JPG,2,2,1
Particpant 23255_P01,116.JPG,3,3,1
Particpant 23255_P01,117.JPG,1,2,0
Particpant 23255_P01,118.JPG,2,1,0
Particpant 23255_P01,119.JPG,3,0,0
Particpant 23255_P01,120.JPG,2,2,1
Particpant 23255_P01,121.JPG,3,0,0
Particpant 23255_P01,122.JPG,0,0,1
Particpant 23255_P01,123.JPG,0,0,1
Particpant 23255_P01,124.JPG,0,0,1
Particpant 23255_P01,125.JPG,0,0,1
Particpant 23255_P01,126.JPG,0,2,0
Particpant 23255_P01,127.JPG,0,0,1
Particpant 23255_P01,128.JPG,0,1,0
Particpant 23255_P01,129.JPG,0,0,1
Particpant 23255_P01,130.JPG,0,0,1
Particpant 23255_P01,131.JPG,0,1,0
Particpant 23255_P01,132.JPG,0,0,1
Particpant 23255_P01,133.JPG,0,1,0
Particpant 23255_P01,134.JPG,0,0,1
Particpant 23255_P01,135.JPG,0,1,0
Particpant 23255_P01,136.JPG,0,3,0
Particpant 23255_P01,137.JPG,0,2,0
Particpant 23255_P01,138.JPG,0,1,0
Particpant 23255_P01,139.JPG,0,1,0
Particpant 23255_P01,140.JPG,0,1,0
Particpant 23255_P01,141.JPG,0,0,1
Particpant 23255_P01,142.JPG,0,2,0
Particpant 23255_P01,143.JPG,0,3,0
Particpant 23255_P01,144.JPG,,,1
