key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,18.532,space,56.044,,,0,0,0,33,1,X, , , , ,,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,,
,,,,space,,0,1,1,177,1,M, , , , ,space,2500,2.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.527,
,,,,space,,0,2,2,152,1,U, , , , ,space,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.368,
,,,,space,,0,3,3,62,1,V, , , , ,space,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.333,
,,,,space,,0,4,4,195,1,X, , , , ,,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.312,
,,,,space,,0,5,5,238,1,D, , , , ,space,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.404,
,,,,space,,0,6,6,298,1,I, , , , ,space,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.443,
,,,,,,0,7,7,116,1,X, , , , ,,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,,
,,,,,,0,8,8,162,1,X,1,6, ,2,,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,,
,,,,,,0,9,9,277,1,X,8,5, ,2,,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,,
,,,,space,,0,10,10,17,1,F, , , , ,space,2500,2.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.422,
,,,,,,0,11,11,200,1,X,7, ,5,3,,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,,
,,,,space,,0,12,12,220,1,U, , , , ,space,2500,2.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.455,
,,,,,,0,13,13,329,1,X,3,4, ,2,,2500,2.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,,
,,,,space,,0,14,14,276,1,H, , , , ,space,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.39,
,,,,,,0,15,15,252,1,X,3, ,6,9,,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,,
,,,,space,,0,16,16,0,1,Q, , , , ,space,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.504,
,,,,space,,0,17,17,237,1,S, , , , ,space,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.462,
,,,,space,,0,18,18,1,1,W, , , , ,space,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.475,
,,,,space,,0,19,19,228,1,Y, , , , ,space,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.466,
,,,,space,,0,20,20,24,1,L, , , , ,space,2500,2.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.442,
,,,,space,,0,21,21,156,1,P, , , , ,space,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.536,
,,,,space,,0,22,22,320,1,B, , , , ,space,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.412,
,,,,space,,0,23,23,161,1,F, , , , ,space,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.387,
,,,,space,,0,24,24,143,1,M, , , , ,space,2500,2.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.422,
,,,,space,,0,25,25,173,1,V, , , , ,space,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.371,
,,,,space,,0,26,26,86,1,G, , , , ,space,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.398,
,,,,space,,0,27,27,115,1,R, , , , ,space,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.412,
,,,,,,0,28,28,158,1,X, , , , ,,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,,
,,,,space,,0,29,29,192,1,A, , , , ,space,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.425,
,,,,space,,0,30,30,324,1,Q, , , , ,space,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.412,
,,,,,,0,31,31,4,1,X, , , , ,,2000,2,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,,
,,,,space,,0,32,32,120,1,U, , , , ,space,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.452,
,,,,space,,0,33,33,146,1,W, , , , ,space,1500,1.5,5b688d2bca518a0001c7b442,001,2021-08-19_16h01.17.530,natb3,2021.2.3,Win32,60.0240096,5b688d2bca518a0001c7b442,611e07ecdcc96256ae8d5b80,611e72269b834f7b57b69fc1,0.538,
