key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,23.147,space,11.774,,,0,0,0,205,1,C, , , , ,space,2000,2,5da09f733c3367001a72dec6,001,2021-08-17_17h21.18,natb3,2021.2.3,MacIntel,58.82352941,5da09f733c3367001a72dec6,6107d0959f7c4c3641818b95,611be1df3abd857eda8e482f,,
,,,,space,,0,1,1,249,1,C, , , , ,space,2000,2,5da09f733c3367001a72dec6,001,2021-08-17_17h21.18,natb3,2021.2.3,MacIntel,58.82352941,5da09f733c3367001a72dec6,6107d0959f7c4c3641818b95,611be1df3abd857eda8e482f,0.222,
,,,,space,,0,2,2,267,1,P, , , , ,space,2000,2,5da09f733c3367001a72dec6,001,2021-08-17_17h21.18,natb3,2021.2.3,MacIntel,58.82352941,5da09f733c3367001a72dec6,6107d0959f7c4c3641818b95,611be1df3abd857eda8e482f,0.329,
,,,,space,,0,3,3,283,1,C, , , , ,space,1500,1.5,5da09f733c3367001a72dec6,001,2021-08-17_17h21.18,natb3,2021.2.3,MacIntel,58.82352941,5da09f733c3367001a72dec6,6107d0959f7c4c3641818b95,611be1df3abd857eda8e482f,0.369,
,,,,space,,0,4,4,192,1,A, , , , ,space,2000,2,5da09f733c3367001a72dec6,001,2021-08-17_17h21.18,natb3,2021.2.3,MacIntel,58.82352941,5da09f733c3367001a72dec6,6107d0959f7c4c3641818b95,611be1df3abd857eda8e482f,0.302,
,,,,,,0,5,5,74,1,X, ,4,3,2,,1500,1.5,5da09f733c3367001a72dec6,001,2021-08-17_17h21.18,natb3,2021.2.3,MacIntel,58.82352941,5da09f733c3367001a72dec6,6107d0959f7c4c3641818b95,611be1df3abd857eda8e482f,,
,,,,space,,0,6,6,310,1,J, , , , ,space,2500,2.5,5da09f733c3367001a72dec6,001,2021-08-17_17h21.18,natb3,2021.2.3,MacIntel,58.82352941,5da09f733c3367001a72dec6,6107d0959f7c4c3641818b95,611be1df3abd857eda8e482f,0.415,
,,,,space,,0,7,7,185,1,Y, , , , ,space,2500,2.5,5da09f733c3367001a72dec6,001,2021-08-17_17h21.18,natb3,2021.2.3,MacIntel,58.82352941,5da09f733c3367001a72dec6,6107d0959f7c4c3641818b95,611be1df3abd857eda8e482f,0.316,
,,,,space,,0,8,8,276,1,H, , , , ,space,2000,2,5da09f733c3367001a72dec6,001,2021-08-17_17h21.18,natb3,2021.2.3,MacIntel,58.82352941,5da09f733c3367001a72dec6,6107d0959f7c4c3641818b95,611be1df3abd857eda8e482f,0.402,
,,,,,,0,9,9,93,1,X,5, ,7, ,,2500,2.5,5da09f733c3367001a72dec6,001,2021-08-17_17h21.18,natb3,2021.2.3,MacIntel,58.82352941,5da09f733c3367001a72dec6,6107d0959f7c4c3641818b95,611be1df3abd857eda8e482f,,
