key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,20.2971,space,16.7322,,,0,0,0,191,1,X,1, ,3,4,,2500,2.5,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,,
,,,,space,,0,1,1,6,1,Y, , , , ,space,2500,2.5,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,0.5097,
,,,,space,,0,2,2,286,1,N, , , , ,space,1500,1.5,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,0.4683,
,,,,,,0,3,3,168,1,X, , , , ,,2500,2.5,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,,
,,,,space,,0,4,4,308,1,G, , , , ,space,1500,1.5,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,0.4842,
,,,,space,,0,5,5,63,1,B, , , , ,space,2000,2,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,0.3885,
,,,,space,,0,6,6,97,1,B, , , , ,space,2500,2.5,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,0.3967,
,,,,space,,0,7,7,8,1,U, , , , ,space,1500,1.5,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,0.4029,
,,,,,,0,8,8,313,1,X, , , , ,,2500,2.5,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,,
,,,,space,,0,9,9,216,1,R, , , , ,space,1500,1.5,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,0.3988,
,,,,space,,0,10,10,95,1,V, , , , ,space,1500,1.5,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,0.4135,
,,,,space,,0,11,11,267,1,P, , , , ,space,2000,2,5e4d3d6b5efe0318a3a119a8,001,2021-08-17_16h52.55.894,natb3,2021.2.3,MacIntel,59.99880002,5e4d3d6b5efe0318a3a119a8,6107d0959f7c4c3641818b95,611bdb49286679e8b76c8a62,0.4393,
