key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,3.3096,space,28.0579,,,0,0,0,211,1,X, , , , ,,2500,2.5,611675906999c2e9533a272a,001,2021-08-19_16h37.08.557,natb3,2021.2.3,Win32,60.40106306,611675906999c2e9533a272a,611e07ecdcc96256ae8d5b80,611e79e73df67275c8dfeb7b,,
,,,,,,0,1,1,141,1,X,1, ,4,6,,1500,1.5,611675906999c2e9533a272a,001,2021-08-19_16h37.08.557,natb3,2021.2.3,Win32,60.40106306,611675906999c2e9533a272a,611e07ecdcc96256ae8d5b80,611e79e73df67275c8dfeb7b,,
,,,,space,,0,2,2,225,1,E, , , , ,space,2000,2,611675906999c2e9533a272a,001,2021-08-19_16h37.08.557,natb3,2021.2.3,Win32,60.40106306,611675906999c2e9533a272a,611e07ecdcc96256ae8d5b80,611e79e73df67275c8dfeb7b,0.6533,
,,,,space,,0,3,3,30,1,N, , , , ,space,2500,2.5,611675906999c2e9533a272a,001,2021-08-19_16h37.08.557,natb3,2021.2.3,Win32,60.40106306,611675906999c2e9533a272a,611e07ecdcc96256ae8d5b80,611e79e73df67275c8dfeb7b,0.5974,
,,,,space,,0,4,4,120,1,U, , , , ,space,1500,1.5,611675906999c2e9533a272a,001,2021-08-19_16h37.08.557,natb3,2021.2.3,Win32,60.40106306,611675906999c2e9533a272a,611e07ecdcc96256ae8d5b80,611e79e73df67275c8dfeb7b,0.6007,
,,,,space,,0,5,5,81,1,S, , , , ,space,2000,2,611675906999c2e9533a272a,001,2021-08-19_16h37.08.557,natb3,2021.2.3,Win32,60.40106306,611675906999c2e9533a272a,611e07ecdcc96256ae8d5b80,611e79e73df67275c8dfeb7b,0.4138,
,,,,space,,0,6,6,73,1,Y, , , , ,space,2000,2,611675906999c2e9533a272a,001,2021-08-19_16h37.08.557,natb3,2021.2.3,Win32,60.40106306,611675906999c2e9533a272a,611e07ecdcc96256ae8d5b80,611e79e73df67275c8dfeb7b,0.4201,
,,,,space,,0,7,7,14,1,S, , , , ,space,2500,2.5,611675906999c2e9533a272a,001,2021-08-19_16h37.08.557,natb3,2021.2.3,Win32,60.40106306,611675906999c2e9533a272a,611e07ecdcc96256ae8d5b80,611e79e73df67275c8dfeb7b,0.5227,
,,,,space,,0,8,8,272,1,D, , , , ,space,2000,2,611675906999c2e9533a272a,001,2021-08-19_16h37.08.557,natb3,2021.2.3,Win32,60.40106306,611675906999c2e9533a272a,611e07ecdcc96256ae8d5b80,611e79e73df67275c8dfeb7b,0.5198,
,,,,,,0,9,9,66,1,X, ,4,7, ,,2000,2,611675906999c2e9533a272a,001,2021-08-19_16h37.08.557,natb3,2021.2.3,Win32,60.40106306,611675906999c2e9533a272a,611e07ecdcc96256ae8d5b80,611e79e73df67275c8dfeb7b,,
