key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,9.6066,space,14.381,,,0,0,0,317,1,C, , , , ,space,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,1,1,214,1,W, , , , ,space,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,space,,0,2,2,102,1,X, ,6, , ,,1500,1.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,0.5281,
,,,,space,,0,3,3,54,1,X, , , , ,,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,0.4516,
,,,,space,,0,4,4,46,1,X, , , , ,,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,0.4569,
,,,,,,0,5,5,292,1,E, , , , ,space,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,6,6,298,1,I, , , , ,space,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,7,7,149,1,R, , , , ,space,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,8,8,61,1,C, , , , ,space,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,9,9,109,1,U, , , , ,space,1500,1.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,10,10,62,1,V, , , , ,space,1500,1.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,11,11,300,1,O, , , , ,space,2500,2.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,12,12,65,1,M, , , , ,space,1500,1.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,13,13,172,1,C, , , , ,space,1500,1.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,14,14,265,1,I, , , , ,space,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,space,,0,15,15,98,1,X, , , , ,,2500,2.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,0.6021,
,,,,,,0,16,16,274,1,F, , , , ,space,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,17,17,112,1,Q, , , , ,space,2500,2.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,18,18,279,1,K, , , , ,space,2500,2.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,space,,0,19,19,311,1,X,1,2,7,3,,2500,2.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,0.5113,
,,,,,,0,20,20,204,1,Z, , , , ,space,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,,,0,21,21,40,1,T, , , , ,space,1500,1.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,space,,0,22,22,191,1,X,1, ,3,4,,2500,2.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,0.4969,
,,,,,,0,23,23,256,1,Q, , , , ,space,2000,2,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,space,,0,24,24,158,1,X, , , , ,,1500,1.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,0.534,
,,,,space,,0,25,25,74,1,X, ,4,3,2,,1500,1.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,0.4981,
,,,,,,0,26,26,57,1,K, , , , ,space,2500,2.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,,
,,,,space,,0,27,27,218,1,X,1,3, ,8,,1500,1.5,611a8a373352c487fcf111a9,001,2021-08-19_15h59.42.035,natb3,2021.2.3,MacIntel,60.0024001,611a8a373352c487fcf111a9,611e07ecdcc96256ae8d5b80,611e71cee4fe0634dfb856fc,0.4466,
