key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,34.0358,space,23.3677,,,0,0,0,258,1,E, , , , ,space,1500,1.5,611a957a01ef665c99b74b93,001,2021-08-19_16h01.00.929,natb3,2021.2.3,MacIntel,59.99520038,611a957a01ef665c99b74b93,611e07ecdcc96256ae8d5b80,611e7216782f6bfb0580c6f3,,
,,,,,,0,1,1,268,1,X,6, ,3, ,,2500,2.5,611a957a01ef665c99b74b93,001,2021-08-19_16h01.00.929,natb3,2021.2.3,MacIntel,59.99520038,611a957a01ef665c99b74b93,611e07ecdcc96256ae8d5b80,611e7216782f6bfb0580c6f3,,
,,,,space,,0,2,2,223,1,Q, , , , ,space,2000,2,611a957a01ef665c99b74b93,001,2021-08-19_16h01.00.929,natb3,2021.2.3,MacIntel,59.99520038,611a957a01ef665c99b74b93,611e07ecdcc96256ae8d5b80,611e7216782f6bfb0580c6f3,0.527,
,,,,space,,0,3,3,36,1,W, , , , ,space,2000,2,611a957a01ef665c99b74b93,001,2021-08-19_16h01.00.929,natb3,2021.2.3,MacIntel,59.99520038,611a957a01ef665c99b74b93,611e07ecdcc96256ae8d5b80,611e7216782f6bfb0580c6f3,0.5002,
,,,,,,0,4,4,141,1,X,1, ,4,6,,1500,1.5,611a957a01ef665c99b74b93,001,2021-08-19_16h01.00.929,natb3,2021.2.3,MacIntel,59.99520038,611a957a01ef665c99b74b93,611e07ecdcc96256ae8d5b80,611e7216782f6bfb0580c6f3,,
,,,,space,,0,5,5,111,1,O, , , , ,space,2000,2,611a957a01ef665c99b74b93,001,2021-08-19_16h01.00.929,natb3,2021.2.3,MacIntel,59.99520038,611a957a01ef665c99b74b93,611e07ecdcc96256ae8d5b80,611e7216782f6bfb0580c6f3,0.5482,
,,,,space,,0,6,6,142,1,N, , , , ,space,2500,2.5,611a957a01ef665c99b74b93,001,2021-08-19_16h01.00.929,natb3,2021.2.3,MacIntel,59.99520038,611a957a01ef665c99b74b93,611e07ecdcc96256ae8d5b80,611e7216782f6bfb0580c6f3,0.4789,
,,,,,,0,7,7,18,1,X, ,2,5,8,,2500,2.5,611a957a01ef665c99b74b93,001,2021-08-19_16h01.00.929,natb3,2021.2.3,MacIntel,59.99520038,611a957a01ef665c99b74b93,611e07ecdcc96256ae8d5b80,611e7216782f6bfb0580c6f3,,
,,,,,,0,8,8,43,1,X, ,6, ,2,,2500,2.5,611a957a01ef665c99b74b93,001,2021-08-19_16h01.00.929,natb3,2021.2.3,MacIntel,59.99520038,611a957a01ef665c99b74b93,611e07ecdcc96256ae8d5b80,611e7216782f6bfb0580c6f3,,
,,,,space,,0,9,9,105,1,R, , , , ,space,2500,2.5,611a957a01ef665c99b74b93,001,2021-08-19_16h01.00.929,natb3,2021.2.3,MacIntel,59.99520038,611a957a01ef665c99b74b93,611e07ecdcc96256ae8d5b80,611e7216782f6bfb0580c6f3,0.5637,
