key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,11.7176,space,16.8187,,,0,0,0,268,1,X,6, ,3, ,,2500,2.5,611bcaccd3e681f51ad322a1,001,2021-08-19_16h38.37.893,natb3,2021.2.3,Win32,60.08532116,611bcaccd3e681f51ad322a1,611e07ecdcc96256ae8d5b80,611e7ae9519eb4b3bee5e1ce,,
,,,,,,0,1,1,302,1,X, , , , ,,2000,2,611bcaccd3e681f51ad322a1,001,2021-08-19_16h38.37.893,natb3,2021.2.3,Win32,60.08532116,611bcaccd3e681f51ad322a1,611e07ecdcc96256ae8d5b80,611e7ae9519eb4b3bee5e1ce,,
,,,,space,,0,2,2,41,1,Y, , , , ,space,2500,2.5,611bcaccd3e681f51ad322a1,001,2021-08-19_16h38.37.893,natb3,2021.2.3,Win32,60.08532116,611bcaccd3e681f51ad322a1,611e07ecdcc96256ae8d5b80,611e7ae9519eb4b3bee5e1ce,0.4759,
,,,,space,,0,3,3,224,1,W, , , , ,space,1500,1.5,611bcaccd3e681f51ad322a1,001,2021-08-19_16h38.37.893,natb3,2021.2.3,Win32,60.08532116,611bcaccd3e681f51ad322a1,611e07ecdcc96256ae8d5b80,611e7ae9519eb4b3bee5e1ce,0.4355,
,,,,space,,0,4,4,81,1,S, , , , ,space,2000,2,611bcaccd3e681f51ad322a1,001,2021-08-19_16h38.37.893,natb3,2021.2.3,Win32,60.08532116,611bcaccd3e681f51ad322a1,611e07ecdcc96256ae8d5b80,611e7ae9519eb4b3bee5e1ce,0.4146,
,,,,space,,0,5,5,77,1,O, , , , ,space,2000,2,611bcaccd3e681f51ad322a1,001,2021-08-19_16h38.37.893,natb3,2021.2.3,Win32,60.08532116,611bcaccd3e681f51ad322a1,611e07ecdcc96256ae8d5b80,611e7ae9519eb4b3bee5e1ce,0.4681,
,,,,space,,0,6,6,157,1,A, , , , ,space,2500,2.5,611bcaccd3e681f51ad322a1,001,2021-08-19_16h38.37.893,natb3,2021.2.3,Win32,60.08532116,611bcaccd3e681f51ad322a1,611e07ecdcc96256ae8d5b80,611e7ae9519eb4b3bee5e1ce,0.442,
,,,,space,,0,7,7,248,1,X, ,1,5, ,,1500,1.5,611bcaccd3e681f51ad322a1,001,2021-08-19_16h38.37.893,natb3,2021.2.3,Win32,60.08532116,611bcaccd3e681f51ad322a1,611e07ecdcc96256ae8d5b80,611e7ae9519eb4b3bee5e1ce,0.5705,
,,,,space,,0,8,8,97,1,B, , , , ,space,2500,2.5,611bcaccd3e681f51ad322a1,001,2021-08-19_16h38.37.893,natb3,2021.2.3,Win32,60.08532116,611bcaccd3e681f51ad322a1,611e07ecdcc96256ae8d5b80,611e7ae9519eb4b3bee5e1ce,0.5717,
,,,,space,,0,9,9,235,1,A, , , , ,space,1500,1.5,611bcaccd3e681f51ad322a1,001,2021-08-19_16h38.37.893,natb3,2021.2.3,Win32,60.08532116,611bcaccd3e681f51ad322a1,611e07ecdcc96256ae8d5b80,611e7ae9519eb4b3bee5e1ce,0.4944,
