key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,34.1235,space,24.4402,,,0,0,0,55,1,H, , , , ,space,2500,2.5,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,,
,,,,space,,0,1,1,165,1,J, , , , ,space,2500,2.5,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,0.5624,
,,,,space,,0,2,2,275,1,G, , , , ,space,1500,1.5,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,0.3173,
,,,,,,0,3,3,325,1,X, , , , ,,2500,2.5,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,,
,,,,space,,0,4,4,121,1,I, , , , ,space,2000,2,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,0.3575,
,,,,space,,0,5,5,321,1,N, , , , ,space,2000,2,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,0.3999,
,,,,,,0,6,6,329,1,X,3,4, ,2,,2500,2.5,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,,
,,,,,,0,7,7,313,1,X, , , , ,,2500,2.5,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,,
,,,,space,,0,8,8,29,1,B, , , , ,space,1500,1.5,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,0.383,
,,,,,,0,9,9,302,1,X, , , , ,,2000,2,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,,
,,,,space,,0,10,10,326,1,W, , , , ,space,2000,2,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,0.3989,
,,,,space,,0,11,11,134,1,J, , , , ,space,2000,2,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,0.4,
,,,,space,,0,12,12,250,1,V, , , , ,space,2000,2,611c1794aea18553c59d5bfc,001,2021-08-19_16h11.23.647,natb3,2021.2.3,Win32,60.14314067,611c1794aea18553c59d5bfc,611e07ecdcc96256ae8d5b80,611e7486ec841801db97a08f,0.3339,
