key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,14.7298,space,29.5566,,,0,0,0,186,1,U, , , , ,space,2500,2.5,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,,
,,,,space,,0,1,1,81,1,S, , , , ,space,2000,2,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.3167,
,,,,space,,0,2,2,192,1,A, , , , ,space,2000,2,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.2734,
,,,,space,,0,3,3,198,1,H, , , , ,space,2500,2.5,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.3342,
,,,,space,,0,4,4,133,1,X, ,4, ,6,,2500,2.5,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.2342,
,,,,space,,0,5,5,36,1,W, , , , ,space,2000,2,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.5515,
,,,,,,0,6,6,282,1,X, , , , ,,2500,2.5,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,,
,,,,space,,0,7,7,114,1,E, , , , ,space,2000,2,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.4898,
,,,,space,,0,8,8,208,1,B, , , , ,space,1500,1.5,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.4185,
,,,,space,,0,9,9,154,1,I, , , , ,space,2500,2.5,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.6677,
,,,,space,,0,10,10,314,1,L, , , , ,space,1500,1.5,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.8342,
,,,,,,0,11,11,259,1,X,8, , ,3,,2500,2.5,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,,
,,,,,,0,12,12,82,1,X,4,6,1,7,,2000,2,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,,
,,,,space,,0,13,13,47,1,P, , , , ,space,2000,2,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.6357,
,,,,space,,0,14,14,272,1,D, , , , ,space,2000,2,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.4559,
,,,,space,,0,15,15,19,1,G, , , , ,space,1500,1.5,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.4219,
,,,,,,0,16,16,66,1,X, ,4,7, ,,2000,2,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,,
,,,,space,,0,17,17,247,1,Z, , , , ,space,1500,1.5,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.4174,
,,,,space,,0,18,18,100,1,M, , , , ,space,2000,2,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.326,
,,,,space,,0,19,19,242,1,H, , , , ,space,2500,2.5,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.5343,
,,,,space,,0,20,20,89,1,X,3, , , ,,2000,2,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.4079,
,,,,space,,0,21,21,312,1,K, , , , ,space,2000,2,611c1fa8d50a2ad182a9d2f7,001,2021-08-19_16h26.49.574,natb3,2021.2.3,Win32,59.97720866,611c1fa8d50a2ad182a9d2f7,611e07ecdcc96256ae8d5b80,611e7812d0208f92fcd21771,0.5671,
