key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,36.9498,space,16.4619,,,0,0,0,268,1,X,6, ,3, ,,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,space,,0,1,1,75,1,U, , , , ,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.621,
,,,,,,0,2,2,335,1,P,,,,,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,space,,0,3,3,193,1,S, , , , ,space,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5492,
,,,,space,,0,4,4,289,1,Q, , , , ,space,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.4753,
,,,,space,,0,5,5,185,1,Y, , , , ,space,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5496,
,,,,space,,0,6,6,135,1,K, , , , ,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5218,
,,,,space,,0,7,7,147,1,E, , , , ,space,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.3788,
,,,,space,,0,8,8,28,1,V, , , , ,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.2979,
,,,,,,0,9,9,233,1,X, ,2, ,5,,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,space,,0,10,10,225,1,E, , , , ,space,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.3416,
,,,,space,,0,11,11,221,1,I, , , , ,space,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.3388,
,,,,space,,0,12,12,254,1,M, , , , ,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.6988,
,,,,,,0,13,13,96,1,X, , , , ,,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,,,0,14,14,66,1,X, ,4,7, ,,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,space,,0,15,15,52,1,F, , , , ,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.4941,
,,,,space,,0,16,16,76,1,I, , , , ,space,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5873,
,,,,space,,0,17,17,61,1,C, , , , ,space,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.4101,
,,,,space,,0,18,18,55,1,H, , , , ,space,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.4766,
,,,,space,,0,19,19,281,1,Z, , , , ,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5687,
,,,,space,,0,20,20,1,1,W, , , , ,space,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5507,
,,,,,,0,21,21,125,1,X, , , , ,,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,space,,0,22,22,269,1,A, , , , ,space,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5325,
,,,,space,,0,23,23,24,1,L, , , , ,space,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.4503,
,,,,space,,0,24,24,248,1,X, ,1,5, ,,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.4441,
,,,,space,,0,25,25,143,1,M, , , , ,space,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.4105,
,,,,space,,0,26,26,204,1,Z, , , , ,space,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.4982,
,,,,,,0,27,27,213,1,X, , , , ,,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,space,,0,28,28,300,1,O, , , , ,space,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.6093,
,,,,space,,0,29,29,0,1,Q, , , , ,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5319,
,,,,space,,0,30,30,258,1,E, , , , ,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5477,
,,,,space,,0,31,31,327,1,E, , , , ,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.6146,
,,,,,,0,32,32,133,1,X, ,4, ,6,,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,,,0,33,33,18,1,X, ,2,5,8,,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,space,,0,34,34,132,1,H, , , , ,space,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5331,
,,,,,,0,35,35,166,1,X, , , , ,,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,space,,0,36,36,320,1,B, , , , ,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5697,
,,,,space,,0,37,37,192,1,A, , , , ,space,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.5453,
,,,,space,,0,38,38,285,1,B, , , , ,space,1500,1.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,0.6902,
,,,,,,0,39,39,243,1,X, , , , ,,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,,,0,40,40,329,1,X,3,4, ,2,,2500,2.5,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
,,,,,,0,41,41,302,1,X, , , , ,,2000,2,611d566639d0da04c1620458,001,2021-08-19_15h44.32.433,natb3,2021.2.3,Win32,166.1129568,611d566639d0da04c1620458,611e07ecdcc96256ae8d5b80,611e6e336905e5518706e407,,
