key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate
,0,0,0,11,1,P, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,1,1,24,1,L, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,2,2,211,1,X, , , , ,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,3,3,191,1,X,1, ,3,4,,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,4,4,51,1,X,7,5,8, ,,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,5,5,260,1,R, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,6,6,219,1,Y, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,7,7,194,1,D, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,8,8,110,1,I, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,9,9,77,1,O, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,10,10,272,1,D, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,11,11,79,1,P, , , , ,space,2000,2,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,12,12,108,1,Y, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,13,13,334,1,O, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,14,14,165,1,J, , , , ,space,2500,2.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
,0,15,15,181,1,E, , , , ,space,1500,1.5,88,001,2021-08-17_14h31.06.476,natb3,2021.2.3,Win32,59.03187721
