key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,46.03,space,10.546,,,0,0,0,283,1,C, , , , ,space,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,space,,0,1,1,223,1,Q, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.239,
,,,,,,0,2,2,213,1,X, , , , ,,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,space,,0,3,3,93,1,X,5, ,7, ,,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.273,
,,,,space,,0,4,4,80,1,A, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.544,
,,,,space,,0,5,5,261,1,T, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.649,
,,,,,,0,6,6,162,1,X,1,6, ,2,,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,space,,0,7,7,117,1,T, , , , ,space,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.555,
,,,,space,,0,8,8,103,1,W, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.611,
,,,,space,,0,9,9,14,1,S, , , , ,space,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.478,
,,,,space,,0,10,10,46,1,X, , , , ,,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.324,
,,,,space,,0,11,11,77,1,O, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.518,
,,,,space,,0,12,12,224,1,W, , , , ,space,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.568,
,,,,space,,0,13,13,67,1,Q, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.488,
,,,,space,,0,14,14,326,1,W, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.466,
,,,,,,0,15,15,145,1,X, , , , ,,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,space,,0,16,16,238,1,D, , , , ,space,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.467,
,,,,space,,0,17,17,144,1,Q, , , , ,space,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.662,
,,,,,,0,18,18,153,1,X,4,7, ,6,,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,space,,0,19,19,71,1,R, , , , ,space,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.592,
,,,,space,,0,20,20,262,1,Y, , , , ,space,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.523,
,,,,,,0,21,21,96,1,X, , , , ,,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,space,,0,22,22,49,1,S, , , , ,space,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.427,
,,,,space,,0,23,23,317,1,C, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.446,
,,,,space,,0,24,24,163,1,G, , , , ,space,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.379,
,,,,space,,0,25,25,246,1,L, , , , ,space,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.412,
,,,,,,0,26,26,179,1,X, ,9, ,2,,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,,,0,27,27,195,1,X, , , , ,,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,space,,0,28,28,214,1,W, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.346,
,,,,,,0,29,29,203,1,X, , , , ,,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,space,,0,30,30,306,1,D, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.346,
,,,,,,0,31,31,102,1,X, ,6, , ,,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,,,0,32,32,7,1,X, , , , ,,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,space,,0,33,33,50,1,D, , , , ,space,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.441,
,,,,space,,0,34,34,258,1,E, , , , ,space,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.381,
,,,,space,,0,35,35,56,1,J, , , , ,space,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.479,
,,,,space,,0,36,36,335,1,P,,,,,space,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.699,
,,,,space,,0,37,37,146,1,W, , , , ,space,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.548,
,,,,space,,0,38,38,323,1,M, , , , ,space,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.654,
,,,,space,,0,39,39,272,1,D, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.546,
,,,,,,0,40,40,33,1,X, , , , ,,1500,1.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,space,,0,41,41,199,1,J, , , , ,space,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.422,
,,,,space,,0,42,42,79,1,P, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.537,
,,,,space,,0,43,43,298,1,I, , , , ,space,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.374,
,,,,space,,0,44,44,41,1,Y, , , , ,space,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.349,
,,,,,,0,45,45,299,1,X, , , , ,,2500,2.5,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,,
,,,,space,,0,46,46,84,1,X, , , , ,,2000,2,Holly,001,2021-08-19_16h37.09,natb3,2021.2.3,MacIntel,58.82352941,611d3faadea138dec9219e19,611e07ecdcc96256ae8d5b80,611e7a1fce581730c9653309,0.321,
