key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,20.301,space,12.149,,,0,0,0,266,1,O, , , , ,space,1500,1.5,Stephen,001,2021-08-19_15h46.14.183,natb3,2021.2.3,MacIntel,58.82352941,611d98a5271a723d15d9604a,611e07ecdcc96256ae8d5b80,611e6e8877b9bceaf5212eb1,,
,,,,space,,0,1,1,55,1,H, , , , ,space,2500,2.5,Stephen,001,2021-08-19_15h46.14.183,natb3,2021.2.3,MacIntel,58.82352941,611d98a5271a723d15d9604a,611e07ecdcc96256ae8d5b80,611e6e8877b9bceaf5212eb1,0.397,
,,,,space,,0,2,2,88,1,J, , , , ,space,2500,2.5,Stephen,001,2021-08-19_15h46.14.183,natb3,2021.2.3,MacIntel,58.82352941,611d98a5271a723d15d9604a,611e07ecdcc96256ae8d5b80,611e6e8877b9bceaf5212eb1,0.38,
,,,,space,,0,3,3,59,1,Z, , , , ,space,2000,2,Stephen,001,2021-08-19_15h46.14.183,natb3,2021.2.3,MacIntel,58.82352941,611d98a5271a723d15d9604a,611e07ecdcc96256ae8d5b80,611e6e8877b9bceaf5212eb1,0.449,
,,,,space,,0,4,4,310,1,J, , , , ,space,2500,2.5,Stephen,001,2021-08-19_15h46.14.183,natb3,2021.2.3,MacIntel,58.82352941,611d98a5271a723d15d9604a,611e07ecdcc96256ae8d5b80,611e6e8877b9bceaf5212eb1,0.392,
,,,,space,,0,5,5,333,1,I, , , , ,space,1500,1.5,Stephen,001,2021-08-19_15h46.14.183,natb3,2021.2.3,MacIntel,58.82352941,611d98a5271a723d15d9604a,611e07ecdcc96256ae8d5b80,611e6e8877b9bceaf5212eb1,0.399,
,,,,space,,0,6,6,41,1,Y, , , , ,space,2500,2.5,Stephen,001,2021-08-19_15h46.14.183,natb3,2021.2.3,MacIntel,58.82352941,611d98a5271a723d15d9604a,611e07ecdcc96256ae8d5b80,611e6e8877b9bceaf5212eb1,0.391,
,,,,space,,0,7,7,1,1,W, , , , ,space,2000,2,Stephen,001,2021-08-19_15h46.14.183,natb3,2021.2.3,MacIntel,58.82352941,611d98a5271a723d15d9604a,611e07ecdcc96256ae8d5b80,611e6e8877b9bceaf5212eb1,0.481,
,,,,space,,0,8,8,20,1,H, , , , ,space,1500,1.5,Stephen,001,2021-08-19_15h46.14.183,natb3,2021.2.3,MacIntel,58.82352941,611d98a5271a723d15d9604a,611e07ecdcc96256ae8d5b80,611e6e8877b9bceaf5212eb1,0.406,
,,,,space,,0,9,9,164,1,H, , , , ,space,2500,2.5,Stephen,001,2021-08-19_15h46.14.183,natb3,2021.2.3,MacIntel,58.82352941,611d98a5271a723d15d9604a,611e07ecdcc96256ae8d5b80,611e6e8877b9bceaf5212eb1,0.449,
