key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp.rt,key_resp_4.rt
return,7.8509,space,14.3343,,,0,0,0,202,1,L, , , , ,space,2500,2.5,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,,
,,,,,,0,1,1,6,1,Y, , , , ,space,2500,2.5,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,,
,,,,space,,0,2,2,54,1,X, , , , ,,2000,2,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,0.2792,
,,,,space,,0,3,3,147,1,E, , , , ,space,2000,2,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,0.3832,
,,,,space,,0,4,4,91,1,L, , , , ,space,2000,2,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,0.4601,
,,,,,,0,5,5,16,1,D, , , , ,space,1500,1.5,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,,
,,,,,,0,6,6,320,1,B, , , , ,space,1500,1.5,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,,
,,,,space,,0,7,7,163,1,G, , , , ,space,2500,2.5,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,0.0235,
,,,,space,,0,8,8,225,1,E, , , , ,space,2000,2,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,0.2366,
,,,,space,,0,9,9,39,1,X,6,2, , ,,1500,1.5,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,0.2257,
,,,,space,,0,10,10,294,1,T, , , , ,space,2000,2,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,0.7553,
,,,,space,,0,11,11,314,1,L, , , , ,space,1500,1.5,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,0.3767,
,,,,space,,0,12,12,319,1,V, , , , ,space,2000,2,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,0.2832,
,,,,space,,0,13,13,318,1,X, , , , ,,1500,1.5,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,0.7246,
,,,,space,,0,14,14,273,1,X, , , , ,,2000,2,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,0.3739,
,,,,,,0,15,15,184,1,T, , , , ,space,2000,2,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,,
,,,,,,0,16,16,182,1,X, , , , ,,1500,1.5,Visar,001,2021-08-19_16h23.25.171,natb3,2021.2.3,Win32,60.42661188,611e4473b1bc14664b7aa068,611e07ecdcc96256ae8d5b80,611e7759c581a7e27d53c2c3,,
