key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,21.6823,space,24.6471,space,0.5563,,0,0,0,261,1,T, , , , ,space,2000,2,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,space,0.4312,,0,1,1,14,1,S, , , , ,space,2500,2.5,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,space,0.4017,,0,2,2,52,1,F, , , , ,space,1500,1.5,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,,,,0,3,3,200,1,X,7, ,5,3,,1500,1.5,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,space,0.5152,,0,4,4,161,1,F, , , , ,space,1500,1.5,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,,,,0,5,5,66,1,X, ,4,7, ,,2000,2,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,space,0.516,,0,6,6,290,1,W, , , , ,space,1500,1.5,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,space,0.4031,,0,7,7,303,1,A, , , , ,space,2000,2,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,,,,0,8,8,218,1,X,1,3, ,8,,1500,1.5,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,,,,0,9,9,322,1,X, , ,1,6,,2000,2,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,space,0.4697,,0,10,10,224,1,W, , , , ,space,1500,1.5,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,space,0.4023,,0,11,11,103,1,W, , , , ,space,2000,2,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,,,,0,12,12,54,1,X, , , , ,,2000,2,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,space,0.435,,0,13,13,81,1,S, , , , ,space,2000,2,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
,,,,space,0.352,,0,14,14,117,1,T, , , , ,space,2500,2.5,61005d2e9b8bac27eba5b984,001,2021-08-19_16h47.54.826,natb3,2021.2.3,Win32,59.81934558,61005d2e9b8bac27eba5b984,611e07ecdcc96256ae8d5b80,611e7cf7a1321fea0c761846,
