key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,14.392,space,12.014,space,0.561,,0,0,0,76,1,I, , , , ,space,2000,2,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,,,,0,1,1,33,1,X, , , , ,,1500,1.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,,,,0,2,2,302,1,X, , , , ,,2000,2,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.448,,0,3,3,169,1,L, , , , ,space,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.401,,0,4,4,276,1,H, , , , ,space,2000,2,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.351,,0,5,5,163,1,G, , , , ,space,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.3,,0,6,6,284,1,V, , , , ,space,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.388,,0,7,7,237,1,S, , , , ,space,1500,1.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.432,,0,8,8,185,1,Y, , , , ,space,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,,,,0,9,9,243,1,X, , , , ,,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.505,,0,10,10,136,1,Z, , , , ,space,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.369,,0,11,11,31,1,X, , , , ,,1500,1.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.416,,0,12,12,326,1,W, , , , ,space,2000,2,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.426,,0,13,13,240,1,F, , , , ,space,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.432,,0,14,14,90,1,K, , , , ,space,2000,2,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.391,,0,15,15,330,1,T, , , , ,space,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.374,,0,16,16,242,1,H, , , , ,space,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.398,,0,17,17,61,1,C, , , , ,space,2000,2,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.456,,0,18,18,49,1,S, , , , ,space,1500,1.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,,,,0,19,19,195,1,X, , , , ,,1500,1.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.382,,0,20,20,70,1,E, , , , ,space,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.352,,0,21,21,307,1,F, , , , ,space,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,,,,0,22,22,273,1,X, , , , ,,2000,2,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.434,,0,23,23,92,1,Z, , , , ,space,1500,1.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.533,,0,24,24,156,1,P, , , , ,space,1500,1.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,space,0.354,,0,25,25,126,1,A, , , , ,space,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,,,,0,26,26,93,1,X,5, ,7, ,,2500,2.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
,,,,,,,0,27,27,248,1,X, ,1,5, ,,1500,1.5,5a270159c40dc70001824243,001,2021-08-19_16h15.27,natb3,2021.2.3,MacIntel,62.5,5a270159c40dc70001824243,611e07ecdcc96256ae8d5b80,611e757f538d4480c86d3ee5,
