key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,10.3204,space,24.5735,space,0.5946,,0,0,0,77,1,O, , , , ,space,2000,2,611e508f1ded92caed24fc5b,001,2021-08-19_15h34.27.839,natb3,2021.2.3,MacIntel,60.0024001,611e508f1ded92caed24fc5b,611e07ecdcc96256ae8d5b80,611e6bdd611589be4eeb9c15,
,,,,space,0.4093,,0,1,1,232,1,O, , , , ,space,2500,2.5,611e508f1ded92caed24fc5b,001,2021-08-19_15h34.27.839,natb3,2021.2.3,MacIntel,60.0024001,611e508f1ded92caed24fc5b,611e07ecdcc96256ae8d5b80,611e6bdd611589be4eeb9c15,
,,,,,,,0,2,2,168,1,X, , , , ,,2500,2.5,611e508f1ded92caed24fc5b,001,2021-08-19_15h34.27.839,natb3,2021.2.3,MacIntel,60.0024001,611e508f1ded92caed24fc5b,611e07ecdcc96256ae8d5b80,611e6bdd611589be4eeb9c15,
,,,,space,0.4331,,0,3,3,25,1,Z, , , , ,space,2500,2.5,611e508f1ded92caed24fc5b,001,2021-08-19_15h34.27.839,natb3,2021.2.3,MacIntel,60.0024001,611e508f1ded92caed24fc5b,611e07ecdcc96256ae8d5b80,611e6bdd611589be4eeb9c15,
,,,,space,0.2677,,0,4,4,53,1,G, , , , ,space,2500,2.5,611e508f1ded92caed24fc5b,001,2021-08-19_15h34.27.839,natb3,2021.2.3,MacIntel,60.0024001,611e508f1ded92caed24fc5b,611e07ecdcc96256ae8d5b80,611e6bdd611589be4eeb9c15,
,,,,space,0.3471,,0,5,5,61,1,C, , , , ,space,2000,2,611e508f1ded92caed24fc5b,001,2021-08-19_15h34.27.839,natb3,2021.2.3,MacIntel,60.0024001,611e508f1ded92caed24fc5b,611e07ecdcc96256ae8d5b80,611e6bdd611589be4eeb9c15,
,,,,space,0.4002,,0,6,6,155,1,O, , , , ,space,1500,1.5,611e508f1ded92caed24fc5b,001,2021-08-19_15h34.27.839,natb3,2021.2.3,MacIntel,60.0024001,611e508f1ded92caed24fc5b,611e07ecdcc96256ae8d5b80,611e6bdd611589be4eeb9c15,
,,,,space,0.3988,,0,7,7,307,1,F, , , , ,space,2500,2.5,611e508f1ded92caed24fc5b,001,2021-08-19_15h34.27.839,natb3,2021.2.3,MacIntel,60.0024001,611e508f1ded92caed24fc5b,611e07ecdcc96256ae8d5b80,611e6bdd611589be4eeb9c15,
,,,,space,0.3742,,0,8,8,292,1,E, , , , ,space,2000,2,611e508f1ded92caed24fc5b,001,2021-08-19_15h34.27.839,natb3,2021.2.3,MacIntel,60.0024001,611e508f1ded92caed24fc5b,611e07ecdcc96256ae8d5b80,611e6bdd611589be4eeb9c15,
,,,,space,0.2748,,0,9,9,35,1,X, , , , ,,2500,2.5,611e508f1ded92caed24fc5b,001,2021-08-19_15h34.27.839,natb3,2021.2.3,MacIntel,60.0024001,611e508f1ded92caed24fc5b,611e07ecdcc96256ae8d5b80,611e6bdd611589be4eeb9c15,
