key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,1.954,space,12.058,space,0.884,,0,0,0,335,1,P,,,,,space,1500,1.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,,,,0,1,1,15,1,X, , , , ,,1500,1.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.425,,0,2,2,258,1,E, , , , ,space,1500,1.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.494,,0,3,3,20,1,H, , , , ,space,1500,1.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.484,,0,4,4,132,1,H, , , , ,space,2500,2.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.508,,0,5,5,17,1,F, , , , ,space,2500,2.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.357,,0,6,6,283,1,C, , , , ,space,1500,1.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.345,,0,7,7,298,1,I, , , , ,space,2000,2,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.308,,0,8,8,94,1,C, , , , ,space,2000,2,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.384,,0,9,9,92,1,Z, , , , ,space,1500,1.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.357,,0,10,10,79,1,P, , , , ,space,2000,2,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.393,,0,11,11,134,1,J, , , , ,space,2000,2,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.375,,0,12,12,253,1,N, , , , ,space,2500,2.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,,,,0,13,13,51,1,X,7,5,8, ,,1500,1.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.371,,0,14,14,250,1,V, , , , ,space,2000,2,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.309,,0,15,15,323,1,M, , , , ,space,2500,2.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.341,,0,16,16,334,1,O, , , , ,space,1500,1.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.391,,0,17,17,154,1,I, , , , ,space,2500,2.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.317,,0,18,18,54,1,X, , , , ,,2000,2,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.366,,0,19,19,56,1,J, , , , ,space,1500,1.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.368,,0,20,20,149,1,R, , , , ,space,2000,2,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,,,,0,21,21,158,1,X, , , , ,,1500,1.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,,,,0,22,22,229,1,X,8, ,2,6,,2500,2.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.365,,0,23,23,181,1,E, , , , ,space,1500,1.5,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
,,,,space,0.364,,0,24,24,317,1,C, , , , ,space,2000,2,,001,2021-08-19_15h55.02,natb3,2021.2.3,MacIntel,62.5,60cfbfd8b5865f350977409d,611e07ecdcc96256ae8d5b80,611e70924513e4d05abf6e6f,
