key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,32.1494,space,17.0901,space,0.4506,,0,0,0,261,1,T, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4695,,0,1,1,316,1,Z, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4337,,0,2,2,30,1,N, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.3999,,0,3,3,81,1,S, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4008,,0,4,4,17,1,F, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4837,,0,5,5,178,1,Q, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4665,,0,6,6,228,1,Y, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,7,7,329,1,X,3,4, ,2,,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.416,,0,8,8,64,1,N, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.5016,,0,9,9,165,1,J, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.5339,,0,10,10,323,1,M, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.3659,,0,11,11,221,1,I, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4016,,0,12,12,61,1,C, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.3332,,0,13,13,299,1,X, , , , ,,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4178,,0,14,14,269,1,A, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.5179,,0,15,15,257,1,W, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.5181,,0,16,16,331,1,Y, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.568,,0,17,17,143,1,M, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4503,,0,18,18,224,1,W, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4654,,0,19,19,101,1,Q, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4834,,0,20,20,333,1,I, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.5157,,0,21,21,314,1,L, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4013,,0,22,22,324,1,Q, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,23,23,259,1,X,8, , ,3,,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.5514,,0,24,24,1,1,W, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.7509,,0,25,25,244,1,J, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,26,26,302,1,X, , , , ,,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.45,,0,27,27,245,1,K, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.6015,,0,28,28,201,1,K, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,29,29,15,1,X, , , , ,,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4173,,0,30,30,327,1,E, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,31,31,27,1,X,5, ,1,3,,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.5165,,0,32,32,198,1,H, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4515,,0,33,33,317,1,C, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.5506,,0,34,34,170,1,Z, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.5664,,0,35,35,189,1,O, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4502,,0,36,36,321,1,N, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.3673,,0,37,37,174,1,B, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,38,38,138,1,X,8,5, ,3,,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.6359,,0,39,39,283,1,C, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,40,40,287,1,X, ,2, ,9,,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.5174,,0,41,41,214,1,W, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.568,,0,42,42,288,1,M, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4504,,0,43,43,25,1,Z, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.3838,,0,44,44,114,1,E, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.368,,0,45,45,149,1,R, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.3678,,0,46,46,303,1,A, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.3834,,0,47,47,137,1,C, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,48,48,168,1,X, , , , ,,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,49,49,74,1,X, ,4,3,2,,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,50,50,93,1,X,5, ,7, ,,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,51,51,96,1,X, , , , ,,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4005,,0,52,52,276,1,H, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4999,,0,53,53,294,1,T, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4677,,0,54,54,152,1,U, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.3846,,0,55,55,58,1,L, , , , ,space,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,56,56,148,1,X, , , , ,,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,57,57,158,1,X, , , , ,,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,58,58,12,1,X, , , , ,,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4335,,0,59,59,173,1,V, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4837,,0,60,60,156,1,P, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.3495,,0,61,61,11,1,P, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,62,62,182,1,X, , , , ,,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4346,,0,63,63,32,1,M, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.3667,,0,64,64,70,1,E, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.4184,,0,65,65,49,1,S, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,66,66,129,1,X,2,3,5, ,,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,67,67,60,1,X,7,3,5, ,,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,68,68,122,1,X,1, , ,8,,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,69,69,39,1,X,6,2, , ,,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.6174,,0,70,70,106,1,T, , , , ,space,1500,1.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,space,0.3996,,0,71,71,150,1,T, , , , ,space,2500,2.5,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
,,,,,,,0,72,72,252,1,X,3, ,6,9,,2000,2,61169988cf61a1a4c41fdf9c,001,2021-08-19_16h31.29.864,natb3,2021.2.3,Win32,74.95128167,61169988cf61a1a4c41fdf9c,611e07ecdcc96256ae8d5b80,611e793ccbeab693d86ace7b,
