key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,46.2974,space,17.8755,space,0.4654,,0,0,0,82,1,X,4,6,1,7,,2000,2,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,,,,0,1,1,158,1,X, , , , ,,1500,1.5,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,space,0.5399,,0,2,2,90,1,K, , , , ,space,2000,2,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,,,,0,3,3,179,1,X, ,9, ,2,,1500,1.5,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,space,0.9602,,0,4,4,77,1,O, , , , ,space,2000,2,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,space,0.3968,,0,5,5,172,1,C, , , , ,space,1500,1.5,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,,,,0,6,6,329,1,X,3,4, ,2,,2500,2.5,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,space,0.4426,,0,7,7,50,1,D, , , , ,space,1500,1.5,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,space,0.4316,,0,8,8,139,1,V, , , , ,space,2000,2,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,space,0.3654,,0,9,9,216,1,R, , , , ,space,1500,1.5,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,space,0.3877,,0,10,10,108,1,Y, , , , ,space,2500,2.5,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,space,0.4546,,0,11,11,173,1,V, , , , ,space,1500,1.5,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,space,0.4804,,0,12,12,131,1,G, , , , ,space,1500,1.5,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
,,,,space,0.4308,,0,13,13,126,1,A, , , , ,space,2500,2.5,5faeaf52a1ecfa0af9c7f3f2,001,2021-08-19_16h49.06.789,natb3,2021.2.3,MacIntel,59.99880002,5faeaf52a1ecfa0af9c7f3f2,611e07ecdcc96256ae8d5b80,611e7d6267ef17dc40003a55,
