key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,33.166,space,17.268,space,0.523,,0,0,0,310,1,J, , , , ,space,2500,2.5,5ee0fb635f06010cac68dae3,001,2021-08-19_16h30.48,natb3,2021.2.3,MacIntel,58.82352941,5ee0fb635f06010cac68dae3,611e07ecdcc96256ae8d5b80,611e791422ab98a338af5b51,
,,,,space,0.539,,0,1,1,14,1,S, , , , ,space,2500,2.5,5ee0fb635f06010cac68dae3,001,2021-08-19_16h30.48,natb3,2021.2.3,MacIntel,58.82352941,5ee0fb635f06010cac68dae3,611e07ecdcc96256ae8d5b80,611e791422ab98a338af5b51,
,,,,,,,0,2,2,187,1,X, ,3,7,4,,1500,1.5,5ee0fb635f06010cac68dae3,001,2021-08-19_16h30.48,natb3,2021.2.3,MacIntel,58.82352941,5ee0fb635f06010cac68dae3,611e07ecdcc96256ae8d5b80,611e791422ab98a338af5b51,
,,,,space,0.497,,0,3,3,169,1,L, , , , ,space,2500,2.5,5ee0fb635f06010cac68dae3,001,2021-08-19_16h30.48,natb3,2021.2.3,MacIntel,58.82352941,5ee0fb635f06010cac68dae3,611e07ecdcc96256ae8d5b80,611e791422ab98a338af5b51,
,,,,space,0.514,,0,4,4,326,1,W, , , , ,space,2000,2,5ee0fb635f06010cac68dae3,001,2021-08-19_16h30.48,natb3,2021.2.3,MacIntel,58.82352941,5ee0fb635f06010cac68dae3,611e07ecdcc96256ae8d5b80,611e791422ab98a338af5b51,
,,,,space,0.475,,0,5,5,143,1,M, , , , ,space,2500,2.5,5ee0fb635f06010cac68dae3,001,2021-08-19_16h30.48,natb3,2021.2.3,MacIntel,58.82352941,5ee0fb635f06010cac68dae3,611e07ecdcc96256ae8d5b80,611e791422ab98a338af5b51,
,,,,,,,0,6,6,271,1,X, , , , ,,2500,2.5,5ee0fb635f06010cac68dae3,001,2021-08-19_16h30.48,natb3,2021.2.3,MacIntel,58.82352941,5ee0fb635f06010cac68dae3,611e07ecdcc96256ae8d5b80,611e791422ab98a338af5b51,
,,,,space,0.472,,0,7,7,321,1,N, , , , ,space,2000,2,5ee0fb635f06010cac68dae3,001,2021-08-19_16h30.48,natb3,2021.2.3,MacIntel,58.82352941,5ee0fb635f06010cac68dae3,611e07ecdcc96256ae8d5b80,611e791422ab98a338af5b51,
,,,,space,0.52,,0,8,8,215,1,E, , , , ,space,2500,2.5,5ee0fb635f06010cac68dae3,001,2021-08-19_16h30.48,natb3,2021.2.3,MacIntel,58.82352941,5ee0fb635f06010cac68dae3,611e07ecdcc96256ae8d5b80,611e791422ab98a338af5b51,
,,,,space,0.585,,0,9,9,292,1,E, , , , ,space,2000,2,5ee0fb635f06010cac68dae3,001,2021-08-19_16h30.48,natb3,2021.2.3,MacIntel,58.82352941,5ee0fb635f06010cac68dae3,611e07ecdcc96256ae8d5b80,611e791422ab98a338af5b51,
